cycle number	Ns	time/s	<I>/mA	Ecell/V	Q discharge/mA.h	Q charge/mA.h	dq/mA.h	(Q-Qo)/mA.h	Capacity/mA.h	Energy charge/W.h	Energy discharge/W.h	
0,000000000000000E+000	0	0,000000000000000E+000	0,000000000000000E+000	2,1538868E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
0,000000000000000E+000	0	3,000000142492354E+002	0,000000000000000E+000	2,1563280E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
0,000000000000000E+000	0	6,000000284984708E+002	0,000000000000000E+000	2,1582179E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
0,000000000000000E+000	0	9,000000427477062E+002	0,000000000000000E+000	2,1590841E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
0,000000000000000E+000	0	1,200000056996942E+003	0,000000000000000E+000	2,1605408E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
0,000000000000000E+000	0	1,500000071246177E+003	0,000000000000000E+000	2,1621158E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
0,000000000000000E+000	0	1,800000085495412E+003	0,000000000000000E+000	2,1637299E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
0,000000000000000E+000	0	2,100000099744648E+003	0,000000000000000E+000	2,1653049E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
0,000000000000000E+000	0	2,400000113993883E+003	0,000000000000000E+000	2,1667616E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
0,000000000000000E+000	0	2,700000128243119E+003	0,000000000000000E+000	2,1684153E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
