"cycle.number"	"Ns"	"time.s"	"X.I..mA"	"Ecell.V"	"Q.discharge.mA.h"	"Q.charge.mA.h"	"dq.mA.h"	"X.Q.Qo..mA.h"	"Capacity.mA.h"	"Energy.charge.W.h"	"Energy.discharge.W.h"	"X"
0	0	0	0	2,0134184	0	0	0	0	0	0	0	NA
0	0	30,0000014249235	0	2,0130644	0	0	0	0	0	0	0	NA
0	0	60,0000028498471	0	2,0126705	0	0	0	0	0	0	0	NA
0	0	90,0000042747706	0	2,0122769	0	0	0	0	0	0	0	NA
0	0	120,000005699694	0	2,0120802	0	0	0	0	0	0	0	NA
0	0	150,000007124618	0	2,0118833	0	0	0	0	0	0	0	NA
0	0	180,000008549541	0	2,0117259	0	0	0	0	0	0	0	NA
0	0	210,000009974465	0	2,0113716	0	0	0	0	0	0	0	NA
0	0	240,000011399388	0	2,011214	0	0	0	0	0	0	0	NA
0	0	270,000012824312	0	2,0111353	0	0	0	0	0	0	0	NA
0	0	300,000014249235	0	2,011096	0	0	0	0	0	0	0	NA
0	0	330,000015674159	0	2,0108597	0	0	0	0	0	0	0	NA
0	0	360,000017099083	0	2,0108204	0	0	0	0	0	0	0	NA
0	0	390,000018524006	0	2,0108991	0	0	0	0	0	0	0	NA
0	0	420,000019948929	0	2,0109386	0	0	0	0	0	0	0	NA
0	0	450,000021373853	0	2,0107417	0	0	0	0	0	0	0	NA
0	0	480,000022798777	0	2,0107024	0	0	0	0	0	0	0	NA
0	0	510,0000242237	0	2,0107417	0	0	0	0	0	0	0	NA
0	0	540,000025648624	0	2,0108597	0	0	0	0	0	0	0	NA
0	0	570,000027073547	0	2,0110567	0	0	0	0	0	0	0	NA
0	0	600,000028498471	0	2,010978	0	0	0	0	0	0	0	NA
0	0	630,000029923394	0	2,0111353	0	0	0	0	0	0	0	NA
0	0	660,000031348318	0	2,0111747	0	0	0	0	0	0	0	NA
0	0	690,000032773241	0	2,0112534	0	0	0	0	0	0	0	NA
0	0	720,000034198165	0	2,011529	0	0	0	0	0	0	0	NA
0	0	750,000035623088	0	2,011529	0	0	0	0	0	0	0	NA
0	0	780,000037048012	0	2,0117652	0	0	0	0	0	0	0	NA
0	0	810,000038472936	0	2,0119619	0	0	0	0	0	0	0	NA
0	0	840,000039897859	0	2,0120409	0	0	0	0	0	0	0	NA
0	0	870,000041322783	0	2,0122375	0	0	0	0	0	0	0	NA
0	0	900,000042747706	0	2,0125525	0	0	0	0	0	0	0	NA
0	0	930,00004417263	0	2,0125918	0	0	0	0	0	0	0	NA
0	0	960,000045597553	0	2,0127494	0	0	0	0	0	0	0	NA
0	0	990,000047022477	0	2,0129461	0	0	0	0	0	0	0	NA
0	0	1020,0000484474	0	2,0132611	0	0	0	0	0	0	0	NA
0	0	1050,00004987232	0	2,013458	0	0	0	0	0	0	0	NA
0	0	1080,00005129725	0	2,013694	0	0	0	0	0	0	0	NA
0	0	1110,00005272217	0	2,0139697	0	0	0	0	0	0	0	NA
0	0	1140,00005414709	0	2,0142453	0	0	0	0	0	0	0	NA
0	0	1170,00005557202	0	2,014442	0	0	0	0	0	0	0	NA
0	0	1200,00005699694	0	2,0147176	0	0	0	0	0	0	0	NA
0	0	1230,00005842187	0	2,0149539	0	0	0	0	0	0	0	NA
0	0	1260,00005984679	0	2,0153081	0	0	0	0	0	0	0	NA
0	0	1290,00006127171	0	2,0155838	0	0	0	0	0	0	0	NA
0	0	1320,00006269664	0	2,0158591	0	0	0	0	0	0	0	NA
0	0	1350,00006412156	0	2,0161741	0	0	0	0	0	0	0	NA
0	0	1380,00006554648	0	2,0165284	0	0	0	0	0	0	0	NA
0	0	1410,00006697141	0	2,0168433	0	0	0	0	0	0	0	NA
0	0	1440,00006839633	0	2,0170796	0	0	0	0	0	0	0	NA
0	0	1470,00006982125	0	2,0173156	0	0	0	0	0	0	0	NA
0	0	1500,00007124618	0	2,0176306	0	0	0	0	0	0	0	NA
0	0	1530,0000726711	0	2,0181031	0	0	0	0	0	0	0	NA
0	0	1560,00007409602	0	2,0183785	0	0	0	0	0	0	0	NA
0	0	1590,00007552095	0	2,0187328	0	0	0	0	0	0	0	NA
0	0	1620,00007694587	0	2,0189691	0	0	0	0	0	0	0	NA
0	0	1650,0000783708	0	2,0193233	0	0	0	0	0	0	0	NA
0	0	1680,00007979572	0	2,0196383	0	0	0	0	0	0	0	NA
0	0	1710,00008122064	0	2,0199926	0	0	0	0	0	0	0	NA
0	0	1740,00008264557	0	2,0202682	0	0	0	0	0	0	0	NA
0	0	1770,00008407049	0	2,0207012	0	0	0	0	0	0	0	NA
0	0	1800,00008549541	0	2,0210161	0	0	0	0	0	0	0	NA
0	0	1830,00008692034	0	2,0213311	0	0	0	0	0	0	0	NA
0	0	1860,00008834526	0	2,0216458	0	0	0	0	0	0	0	NA
0	0	1890,00008977018	0	2,022079	0	0	0	0	0	0	0	NA
0	0	1920,00009119511	0	2,0225513	0	0	0	0	0	0	0	NA
0	0	1950,00009262003	0	2,0227482	0	0	0	0	0	0	0	NA
0	0	1980,00009404495	0	2,0231419	0	0	0	0	0	0	0	NA
0	0	2010,00009546988	0	2,0235355	0	0	0	0	0	0	0	NA
0	0	2040,0000968948	0	2,0238898	0	0	0	0	0	0	0	NA
0	0	2070,00009831972	0	2,0243227	0	0	0	0	0	0	0	NA
0	0	2100,00009974465	0	2,0247557	0	0	0	0	0	0	0	NA
0	0	2130,00010116957	0	2,0250707	0	0	0	0	0	0	0	NA
0	0	2160,00010259449	0	2,025425	0	0	0	0	0	0	0	NA
0	0	2190,00010401942	0	2,0258186	0	0	0	0	0	0	0	NA
0	0	2220,00010544434	0	2,0262122	0	0	0	0	0	0	0	NA
0	0	2250,00010686926	0	2,0264485	0	0	0	0	0	0	0	NA
0	0	2280,00010829419	0	2,0269601	0	0	0	0	0	0	0	NA
0	0	2310,00010971911	0	2,027472	0	0	0	0	0	0	0	NA
0	0	2340,00011114404	0	2,0277476	0	0	0	0	0	0	0	NA
0	0	2370,00011256896	0	2,0281413	0	0	0	0	0	0	0	NA
0	0	2400,00011399388	0	2,0286136	0	0	0	0	0	0	0	NA
0	0	2430,00011541881	0	2,0290072	0	0	0	0	0	0	0	NA
0	0	2460,00011684373	0	2,0293615	0	0	0	0	0	0	0	NA
0	0	2490,00011826865	0	2,0298338	0	0	0	0	0	0	0	NA
0	0	2520,00011969358	0	2,0300701	0	0	0	0	0	0	0	NA
0	0	2550,0001211185	0	2,0305424	0	0	0	0	0	0	0	NA
0	0	2580,00012254342	0	2,0309756	0	0	0	0	0	0	0	NA
0	0	2610,00012396835	0	2,0314872	0	0	0	0	0	0	0	NA
0	0	2640,00012539327	0	2,0318022	0	0	0	0	0	0	0	NA
0	0	2670,00012681819	0	2,0323138	0	0	0	0	0	0	0	NA
0	0	2700,00012824312	0	2,0327864	0	0	0	0	0	0	0	NA
0	0	2730,00012966804	0	2,0330617	0	0	0	0	0	0	0	NA
0	0	2760,00013109297	0	2,0334949	0	0	0	0	0	0	0	NA
0	0	2790,00013251789	0	2,0339279	0	0	0	0	0	0	0	NA
0	0	2820,00013394281	0	2,0342429	0	0	0	0	0	0	0	NA
0	0	2850,00013536774	0	2,0347152	0	0	0	0	0	0	0	NA
0	0	2880,00013679266	0	2,0351088	0	0	0	0	0	0	0	NA
0	0	2910,00013821758	0	2,0355418	0	0	0	0	0	0	0	NA
0	0	2940,00013964251	0	2,0359354	0	0	0	0	0	0	0	NA
0	0	2970,00014106743	0	2,0363686	0	0	0	0	0	0	0	NA
0	0	3000,00014249235	0	2,0368016	0	0	0	0	0	0	0	NA
0	0	3030,00014391728	0	2,0372345	0	0	0	0	0	0	0	NA
0	0	3060,0001453422	0	2,0376282	0	0	0	0	0	0	0	NA
0	0	3090,00014676712	0	2,0380218	0	0	0	0	0	0	0	NA
0	0	3120,00014819205	0	2,0383368	0	0	0	0	0	0	0	NA
0	0	3150,00014961697	0	2,038888	0	0	0	0	0	0	0	NA
0	0	3180,0001510419	0	2,0393209	0	0	0	0	0	0	0	NA
0	0	3210,00015246682	0	2,0397539	0	0	0	0	0	0	0	NA
0	0	3240,00015389174	0	2,0400295	0	0	0	0	0	0	0	NA
0	0	3270,00015531667	0	2,0406201	0	0	0	0	0	0	0	NA
0	0	3300,00015674159	0	2,0409744	0	0	0	0	0	0	0	NA
0	0	3330,00015816651	0	2,0414073	0	0	0	0	0	0	0	NA
0	0	3360,00015959144	0	2,0418403	0	0	0	0	0	0	0	NA
0	0	3390,00016101636	0	2,0422339	0	0	0	0	0	0	0	NA
0	0	3420,00016244128	0	2,0426276	0	0	0	0	0	0	0	NA
0	0	3450,00016386621	0	2,0430212	0	0	0	0	0	0	0	NA
0	0	3480,00016529113	0	2,0435331	0	0	0	0	0	0	0	NA
0	0	3510,00016671605	0	2,043848	0	0	0	0	0	0	0	NA
0	0	3540,00016814098	0	2,0444384	0	0	0	0	0	0	0	NA
0	0	3570,0001695659	0	2,044714	0	0	0	0	0	0	0	NA
0	0	3600,00017099083	0	2,0453045	0	0	0	0	0	0	0	NA
0	0	3630,00017241575	0	2,0456195	0	0	0	0	0	0	0	NA
0	0	3660,00017384067	0	2,0462098	0	0	0	0	0	0	0	NA
0	0	3690,00017526559	0	2,0464854	0	0	0	0	0	0	0	NA
0	0	3720,00017669052	0	2,0468397	0	0	0	0	0	0	0	NA
0	0	3750,00017811544	0	2,0473514	0	0	0	0	0	0	0	NA
0	0	3780,00017954037	0	2,0477057	0	0	0	0	0	0	0	NA
0	0	3810,00018096529	0	2,0482569	0	0	0	0	0	0	0	NA
0	0	3840,00018239021	0	2,0484931	0	0	0	0	0	0	0	NA
0	0	3870,00018381514	0	2,0488474	0	0	0	0	0	0	0	NA
0	0	3900,00018524006	0	2,0493984	0	0	0	0	0	0	0	NA
0	0	3930,00018666498	0	2,0497527	0	0	0	0	0	0	0	NA
0	0	3960,00018808991	0	2,050225	0	0	0	0	0	0	0	NA
0	0	3990,00018951483	0	2,0506582	0	0	0	0	0	0	0	NA
0	0	4020,00019093975	0	2,0510125	0	0	0	0	0	0	0	NA
0	0	4050,00019236468	0	2,0515242	0	0	0	0	0	0	0	NA
0	0	4080,0001937896	0	2,0518391	0	0	0	0	0	0	0	NA
0	0	4110,00019521452	0	2,0523114	0	0	0	0	0	0	0	NA
0	0	4140,00019663945	0	2,0527444	0	0	0	0	0	0	0	NA
0	0	4170,00019806437	0	2,0530593	0	0	0	0	0	0	0	NA
0	0	4200,00019948929	0	2,0535712	0	0	0	0	0	0	0	NA
0	0	4230,00020091422	0	2,0538468	0	0	0	0	0	0	0	NA
0	0	4260,00020233914	0	2,0543585	0	0	0	0	0	0	0	NA
