"cycle.number"	"Ns"	"time.s"	"X.I..mA"	"Ecell.V"	"Q.discharge.mA.h"	"Q.charge.mA.h"	"dq.mA.h"	"X.Q.Qo..mA.h"	"Capacity.mA.h"	"Energy.charge.W.h"	"Energy.discharge.W.h"	"X"
0	0	0	0	2,0695798	0	0	0	0	0	0	0	NA
0	0	30,0000014249235	0	2,0693438	0	0	0	0	0	0	0	NA
0	0	60,0000028498471	0	2,0692649	0	0	0	0	0	0	0	NA
0	0	90,0000042747706	0	2,0691862	0	0	0	0	0	0	0	NA
0	0	120,000005699694	0	2,0691469	0	0	0	0	0	0	0	NA
0	0	150,000007124618	0	2,0691469	0	0	0	0	0	0	0	NA
0	0	180,000008549541	0	2,0692649	0	0	0	0	0	0	0	NA
0	0	210,000009974465	0	2,0695012	0	0	0	0	0	0	0	NA
0	0	240,000011399388	0	2,0696981	0	0	0	0	0	0	0	NA
0	0	270,000012824312	0	2,0696192	0	0	0	0	0	0	0	NA
0	0	300,000014249235	0	2,0700524	0	0	0	0	0	0	0	NA
0	0	330,000015674159	0	2,0702491	0	0	0	0	0	0	0	NA
0	0	360,000017099083	0	2,0704064	0	0	0	0	0	0	0	NA
0	0	390,000018524006	0	2,0707607	0	0	0	0	0	0	0	NA
0	0	420,000019948929	0	2,0709577	0	0	0	0	0	0	0	NA
0	0	450,000021373853	0	2,0715086	0	0	0	0	0	0	0	NA
0	0	480,000022798777	0	2,0716269	0	0	0	0	0	0	0	NA
0	0	510,0000242237	0	2,0720205	0	0	0	0	0	0	0	NA
0	0	540,000025648624	0	2,0724142	0	0	0	0	0	0	0	NA
0	0	570,000027073547	0	2,0727684	0	0	0	0	0	0	0	NA
0	0	600,000028498471	0	2,0732014	0	0	0	0	0	0	0	NA
0	0	630,000029923394	0	2,0735557	0	0	0	0	0	0	0	NA
0	0	660,000031348318	0	2,0738311	0	0	0	0	0	0	0	NA
0	0	690,000032773241	0	2,074146	0	0	0	0	0	0	0	NA
0	0	720,000034198165	0	2,0745397	0	0	0	0	0	0	0	NA
0	0	750,000035623088	0	2,0750515	0	0	0	0	0	0	0	NA
0	0	780,000037048012	0	2,0752876	0	0	0	0	0	0	0	NA
0	0	810,000038472936	0	2,0757992	0	0	0	0	0	0	0	NA
0	0	840,000039897859	0	2,0762324	0	0	0	0	0	0	0	NA
0	0	870,000041322783	0	2,0765865	0	0	0	0	0	0	0	NA
0	0	900,000042747706	0	2,0770197	0	0	0	0	0	0	0	NA
0	0	930,00004417263	0	2,077492	0	0	0	0	0	0	0	NA
0	0	960,000045597553	0	2,077925	0	0	0	0	0	0	0	NA
