"CycNr"	"time.s.ch"	"time.s.dc"	"Qch.mAh"	"Qdc.mAh"	"Qch.mAh.g"	"Qdc.mAh.g"	"CE"	"Ewe.endCH"	"Ewe.endDC"	"Edrop.ch"	"Edrop.dc"
1	82425.159962184	147487.456120997	2.15547247163003	1.87804731077192	285.398539772265	248.665648562982	0.871292644879703	0.025311241	1.2002199	2.317253059	-1.2084179
2	216699.433340368	282754.396230437	1.97444824040547	1.90655860274339	261.429757087782	252.440728598926	0.965615893963299	0.025193112	1.2002199	0.921719418	0.0159473999999999
3	315285.205623664	346118.834839862	1.8353546080461	1.78126037630275	243.012857735333	235.850430493578	0.970526550288318	0.025232488	1.2000624	0.916009852	0.0171285999999999
4	378403.886207455	409312.107431433	1.81956436249874	1.78564965104894	240.922126779045	236.431598947228	0.981361081724404	0.025232488	1.2000624	0.797644802	0.0402818999999999
5	441618.240801224	472553.224027994	1.81945976286493	1.78732586216969	240.908277108895	236.653540174735	0.982338768160148	0.025193112	1.2000231	0.800637408	0.0390218999999998
6	504845.605396352	535783.302623406	1.81763453306026	1.7874146083932	240.666604840816	236.665290750506	0.983374036904889	0.025193112	1.2000231	0.804417538	0.0362262
7	568147.407999244	599144.469232488	1.81960249906645	1.7908965158823	240.927176308037	237.126317892393	0.984224036184344	0.025232488	1.1999049	0.802803102	0.0408332
8	631651.592623247	662760.167868122	1.82447065376433	1.79738897882276	241.571751574224	237.985962108277	0.985156420638669	0.025311241	1.1999837	0.804771889	0.0424081999999999
9	695410.62527383	726623.002529535	1.82959493792149	1.80301670920095	242.250240042567	238.731110122602	0.985473162299665	0.025271865	1.1999443	0.807528225	0.0426051000000001
10	759394.455947863	790698.469213124	1.83409768099551	1.80834483375788	242.846432438995	239.436588382374	0.985958846410159	0.025232488	1.1999837	0.811505262	0.0383130999999999
11	823372.120621253	854650.367883828	1.83105003678421	1.80684515985968	242.442904572553	239.238021828491	0.986780876306887	0.025271865	1.2000624	0.814812865	0.0394155999999999
