"CycNr"	"time.s.ch"	"time.s.dc"	"Qch.mAh"	"Qdc.mAh"	"Qch.mAh.g"	"Qdc.mAh.g"	"CE"	"Ewe.endCH"	"Ewe.endDC"	"Edrop.ch"	"Edrop.dc"
1	78314.9657554654	139309.131267891	1.97670189950145	1.68376358107323	274.866425572057	234.132459302403	0.851804504006344	0.025152782	1.1998796	1.369648718	0.0820703
2	202664.961876418	262721.584140811	1.75949281358329	1.65784930882593	244.662839961523	230.529000740587	0.942231361235083	0.025192145	1.1998796	1.068173255	0.0153906000000001
3	293605.281362231	323208.780450116	1.70212757362523	1.63733348939521	236.686028453762	227.676213501385	0.961933473592687	0.024955971	1.1999977	1.066756129	0.0142884999999999
4	353873.561648702	383444.30473317	1.69065045898558	1.63550073735118	235.090100672402	227.421363742082	0.967379583791974	0.024995333	1.2000765	1.011373467	0.0277504
5	414035.741924105	443591.239006983	1.68693006708821	1.63467175554916	234.572768836572	227.306091295162	0.969021649113616	0.025034696	1.1999583	1.014050104	0.0278685000000001
6	474144.074193892	503696.627276463	1.68509622865239	1.63451262324226	234.317768011178	227.283963462735	0.969981770447268	0.025034696	1.1999977	1.016411904	0.0275928999999999
7	534194.310457621	563753.757540911	1.68214070361574	1.63493889802235	233.906793244211	227.343238270507	0.97193944270421	0.024955971	1.1999977	1.017277829	0.0281439999999999
8	594219.594718743	623776.267801745	1.68037237395043	1.63462527760582	233.660901613075	227.299628395442	0.972775619824633	0.025507042	1.1999977	1.016175658	0.0323557999999999
9	654204.296975635	683750.622057557	1.67838235867842	1.63406237111347	233.384183922467	227.221354531526	0.973593628808249	0.025467681	1.1999977	1.011019319	0.0386537999999998
10	714139.445227358	743676.57630832	1.67630959655013	1.63357074669288	233.095960029219	227.152992657009	0.974504202597654	0.025428317	1.1999977	1.011570283	0.0388899
11	774034.305474877	803576.882556408	1.6746130300456	1.63387518957742	232.860047284377	227.195326368271	0.975673281088067	0.025428317	1.2001158	1.012239483	0.0376697000000001
12	833903.921719763	863424.79679903	1.67305067492634	1.63270622544548	232.642797041833	227.032778341859	0.97588569785393	0.025507042	1.2000371	1.010271358	0.0402676000000002
13	893715.507958598	923228.685037061	1.67101769448374	1.63227604736478	232.360104913264	226.972960768237	0.97681553747345	0.025310231	1.199919	1.012947969	0.0384176000000001
14	953479.982192516	982970.315268598	1.66909040992773	1.63083917234075	232.092110119965	226.773158915491	0.977082585005904	0.025388956	1.1999977	1.013735344	0.0364887999999999
15	1013182.32841995	1042648.68149354	1.66718858566836	1.62939136519945	231.827655658536	226.571836918508	0.977328767246954	0.025231507	1.2000371	1.014955493	0.0352686
16	1072810.68700079	1102250.15051024	1.66445955844882	1.62822779317155	231.448176103569	226.410038680602	0.978232114386104	0.025192145	1.1999583	1.015585255	0.0345206
17	1132373.19810118	1161785.5676074	1.66230666370147	1.62663867660911	231.148809525338	226.189067177795	0.978543076394257	0.025192145	1.2000371	1.017002355	0.0331037000000001
18	1191863.36519295	1221246.38469567	1.65956829216057	1.62521167506715	230.768030613998	225.990638262831	0.979297858813215	0.025310231	1.2000371	1.016923569	0.0345994000000001
19	1251279.74027592	1280638.51177575	1.65717393753448	1.62379567880035	230.435088303481	225.793739664931	0.979858325080957	0.025270868	1.1999977	1.015545932	0.0336547
20	1310627.58735072	1339950.33884626	1.65482057263973	1.62184883591606	230.107845740072	225.523025226456	0.980075340330659	0.025152782	1.1999583	1.015427818	0.0348356000000001
21	1369890.15241536	1399164.20390508	1.65209896022091	1.61909281566689	229.729397235752	225.139792208425	0.980021690377672	0.025113421	1.1999583	1.015309779	0.0342844
22	1429049.32946766	1458291.07895354	1.64916649586675	1.61734475480767	229.32162912699	224.896719016571	0.980704349052183	0.025074057	1.1999583	1.014404343	0.0333791999999999
23	1488121.16250956	1517300.59198801	1.64595199976606	1.61384538675642	228.874643644033	224.410121220388	0.980493590934484	0.025231507	1.199919	1.011727793	0.0351899
24	1547056.06553513	1576178.14700675	1.64174744641148	1.61065505856752	228.289987681496	223.966496359246	0.981061406300999	0.025310231	1.2000371	1.011649069	0.0364101000000001
25	1605855.76054459	1634903.93800739	1.63741679700143	1.60660686620026	227.687797678013	223.403582868701	0.981183819014443	0.025310231	1.2000371	1.010153269	0.0368825000000002
26	1664498.57753534	1693445.22698605	1.63269192581525	1.60100927295629	227.03078993468	222.625220462531	0.980594837055288	0.025231507	1.2000371	1.008854393	0.0375123000000002
27	1722933.87450136	1751786.81394089	1.6266500742174	1.59582445873272	226.190652049976	221.904256237603	0.981049633247329	0.025349593	1.1999583	1.007240407	0.0375515
28	1781180.20944485	1809938.85887314	1.62125865067047	1.59060452411222	225.440958168737	221.178408414409	0.981092389825909	0.025231507	1.2000765	1.011058693	0.0362921
29	1839226.86036454	1867881.92778048	1.61526838882271	1.58486953151877	224.607993996066	220.380940209799	0.98118030569143	0.025152782	1.2000765	1.010310718	0.0354654000000001
30	1897054.49525811	1925575.92265812	1.60867510188368	1.57743010305593	223.691177345989	219.346465001172	0.980577185044287	0.025152782	1.1998796	1.010192618	0.0355834000000002
31	1954613.95411972	1983019.60950593	1.60104095159706	1.57096665908858	222.62962547411	218.447703412164	0.981215788091816	0.025152782	1.1999583	1.007634018	0.0358982999999999
32	2011928.12495209	2040201.19632249	1.5935934256666	1.56361780767159	221.594024287923	217.425823217909	0.981189921147879	0.025152782	1.1999977	1.005193618	0.0367249999999999
33	2068965.54175146	2070384.72392064	1.58538884820979	0.0753295895141115	220.453152778946	10.4748090821263	0.0475148980637609	0.025192145	0.28864366	1.006059655	-0.87616414
35	2072678.16403997	2099859.37333101	0.109672375222527	1.50636725045727	15.2502781370405	209.464958695303	13.7351566189829	0.025062259	1.199954	0.190716661	0.96279624
36	2127351.90263683	2154343.86796995	1.51009371121843	1.49572728510006	209.983134425145	207.985439073915	0.99048640093549	0.025022887	1.1998752	0.988466613	0.0366156
37	2181806.55135109	2208687.14708569	1.50827432881434	1.48946625007992	209.730143755036	207.114823066109	0.987530067723684	0.02510163	1.1998359	0.98952967	0.0381511000000001
38	2236025.13793726	2262783.88672842	1.50108369862209	1.48266616318191	208.730264704455	206.169250251256	0.987730507328082	0.024983516	1.2000722	0.987757884	0.0390568
39	2290003.30756762	2316622.24034419	1.4940809688205	1.47493978986766	207.756513776055	205.094874486221	0.987188660218361	0.024983516	1.1999934	0.985828784	0.036537
40	2343692.18116781	2370132.0499257	1.48533494314634	1.46472403995496	206.540352241721	203.674343315714	0.986123733716437	0.025062259	1.2000722	0.981970241	0.0392142999999998
41	2397027.79073114	2423290.69147058	1.47552058936923	1.45487651753291	205.17563642762	202.305015300412	0.98600895711991	0.024983516	1.2000327	0.979332384	0.0398441
42	2450025.66625925	2476113.09298038	1.46598439874436	1.44507496687185	203.849600047884	200.94207979863	0.985736934246763	0.025022887	1.1999934	0.975040913	0.0402773000000001
43	2502662.70574972	2528527.10644759	1.45501093783709	1.43266810888449	202.32370685352	199.216868370227	0.984644219248404	0.024904773	1.2000722	0.972560477	0.0399229999999999
44	2554868.46119521	2580534.45987238	1.44275545742153	1.42164616862539	200.619544937987	197.68423397419	0.985368768707438	0.025022887	1.1999147	0.969056403	0.0408678999999998
45	2606693.95860103	2632148.35325613	1.43154214029598	1.41003298810471	199.060299005212	196.069385817244	0.984974838263006	0.024944143	1.2000327	0.968111437	0.0422064
46	2658119.95996518	2683388.34260087	1.42018365130005	1.39969657577558	197.48086648127	194.632076169864	0.98557434772206	0.025022887	1.2000327	0.965473573	0.0420882999999999
47	2709178.75329102	2734257.49190694	1.40927003179986	1.38915661929443	195.963294417001	193.166463087594	0.985727779593992	0.024983516	1.1999934	0.960906454	0.0435845000000001
48	2759877.98257936	2784788.32517772	1.39893404262955	1.37962472713518	194.526043611145	191.841024422607	0.986197122304584	0.024983516	1.199954	0.959055974	0.0436239
