"CycNr"	"time.s.ch"	"time.s.dc"	"Qch.mAh"	"Qdc.mAh"	"Qch.mAh.g"	"Qdc.mAh.g"	"CE"	"Ewe.endCH"	"Ewe.endDC"	"Edrop.ch"	"Edrop.dc"
1	87524.8342186429	155642.518971596	2.31573830576542	1.96760711080724	308.950477722023	262.505117845006	0.849667298722205	0.024926569	1.1998849	2.115350131	-0.8696949
2	226169.110328092	293761.909378569	2.02674070389736	1.9524001591689	270.394330451252	260.476307006724	0.963320150137852	0.025123386	1.1997668	0.948067634	0.0158634999999998
3	326045.98074606	356767.18795053	1.83497897082126	1.77842528369328	244.810749225703	237.265730597462	0.969180198777608	0.024965933	1.2000029	0.941021567	0.0159421000000002
4	388408.431250969	418951.292436837	1.79753279951561	1.76809720031408	239.81492889275	235.887826070853	0.983624443899181	0.025044659	1.1999636	0.810059511	0.0406230999999999
5	450380.171715125	480746.32088256	1.78491602736005	1.7578785240439	238.131682657601	234.524517916603	0.984852226714475	0.024887206	1.1999636	0.811634064	0.0398752
6	511947.410137086	542120.515284388	1.77150837168994	1.74670546842603	236.342921978512	233.033882786476	0.985998991785599	0.024887206	1.2000817	0.811515984	0.0406230999999999
7	573119.694517854	603113.041646402	1.75917741147255	1.73594311331023	234.697806880468	231.598040599057	0.986792521316613	0.025398931	1.2000029	0.809075449	0.0457402
8	634036.226871941	663959.179993149	1.75362584073507	1.73190256832498	233.95715305651	231.058977830029	0.987612367527052	0.025438294	1.1999242	0.794117346	0.0657369000000001
9	694838.605214123	724704.564329385	1.74994721698393	1.72858907728105	233.466375423111	230.616913785745	0.987794980616792	0.025241476	1.1999636	0.795691864	0.0665241999999999
10	755502.489541858	785291.512649096	1.74417101902346	1.72412380056013	232.695753321788	230.021186119689	0.988506162386212	0.025280841	1.1999636	0.793408799	0.0673901000000001
11	816061.141858617	845808.294961486	1.74134232394755	1.72173554332481	232.318367546868	229.702560646363	0.988740421482266	0.025398931	1.1998849	0.793172639	0.0677837999999999
12	876537.360166777	906228.107263763	1.73769398165758	1.71849085320978	231.831629865597	229.269675566644	0.98894907351323	0.025241476	1.2000424	0.792503434	0.0666817
13	936889.804462027	966511.859551847	1.73279672884545	1.71460618841585	231.178270808545	228.751409301027	0.989502207542993	0.025320204	1.1999636	0.793881146	0.0627451999999999
14	997129.110745475	1026697.5578297	1.72924792804949	1.71159436803972	230.704813294575	228.349592160592	0.989791192041686	0.025280841	1.1999242	0.799510109	0.0562503000000001
